,手數,玩家,行為,進張,手牌,吃,碰,槓,messageA,messageB,messageC,messageD,Total_messageA,talkA,Total_messageB,talkB,Total_messageC,talkC,Total_messageD,talkD
155,4,1,丟,1A,5A 2B 4B 4B 6B 0C 5C 6C 2D 3E ,2,,,,,,,,,,,,,,
156,5,0,摸,3C,1A 2A 2A 3A 6A 6A 8B 1C 1C 4C 5C 0D 1E ,,,,,,,,,,,,,,,
157,5,0,丟,8B,1A 2A 2A 3A 6A 6A 1C 1C 3C 4C 5C 0D 1E ,,,,,,,,,,,,,,,
158,6,3,摸,2E,3A 5A 5A 5A 6A 8A 8A 8A 0B 5B 6B 6C 2E ,,,,,,,,,,,,,,,
159,6,3,丟,3A,5A 5A 5A 6A 8A 8A 8A 0B 5B 6B 6C 2E 2E ,,,,,,,,,,,,,,,
160,7,2,摸,2A,3A 4A 7A 7B 0C 0C 2C 7C 8C 1E 2E 2E 3E ,,,,,,,,,,,,,,,
161,7,2,丟,7A,2A 3A 4A 7B 0C 0C 2C 7C 8C 1E 2E 2E 3E ,,,,,,,,,,,,,,,
162,8,1,摸,1E,5A 2B 4B 4B 6B 0C 5C 6C 2D 3E ,2,,,,,,,,,,,,,,
163,8,1,丟,5A,2B 4B 4B 6B 0C 5C 6C 2D 1E 3E ,2,,,,,,,,,,,,,,
164,9,3,碰,5A,5A 6A 8A 8A 8A 0B 5B 6B 6C 2E 2E ,,5,,,,,,,,,,,,,
165,9,3,丟,0B,5A 6A 8A 8A 8A 5B 6B 6C 2E 2E ,,5,,,,,,,,,,,,,
166,10,2,摸,0A,2A 3A 4A 7B 0C 0C 2C 7C 8C 1E 2E 2E 3E ,,,,,,,,,,,,,,,
167,10,2,丟,7B,0A 2A 3A 4A 0C 0C 2C 7C 8C 1E 2E 2E 3E ,,,,,,,,,,,,,,,
168,11,1,摸,3E,2B 4B 4B 6B 0C 5C 6C 2D 1E 3E ,2,,,,,,,,,,,,,,
169,11,1,丟,0C,2B 4B 4B 6B 5C 6C 2D 1E 3E 3E ,2,,,,,,,,,,,,,,
170,12,2,碰,0C,0A 2A 3A 4A 2C 7C 8C 1E 2E 2E 3E ,,18,,,,,,,,,,,,,
171,12,2,丟,2C,0A 2A 3A 4A 7C 8C 1E 2E 2E 3E ,,18,,,,,,,,,,,,,
172,13,1,摸,2B,2B 4B 4B 6B 5C 6C 2D 1E 3E 3E ,2,,,,,,,,,,,,,,
173,13,1,丟,2D,2B 2B 4B 4B 6B 5C 6C 1E 3E 3E ,2,,,,,,,,,,,,,,
174,14,0,摸,7C,1A 2A 2A 3A 6A 6A 1C 1C 3C 4C 5C 0D 1E ,,,,,,,,,,,,,,,
175,14,0,丟,0D,1A 2A 2A 3A 6A 6A 1C 1C 3C 4C 5C 7C 1E ,,,,,,,,,,,,,,,
176,15,3,摸,3C,5A 6A 8A 8A 8A 5B 6B 6C 2E 2E ,,5,,,,,,,,,,,,,
177,15,3,丟,3C,5A 6A 8A 8A 8A 5B 6B 6C 2E 2E ,,5,,,,,,,,,,,,,
178,16,2,摸,7A,0A 2A 3A 4A 7C 8C 1E 2E 2E 3E ,,18,,,,,,,,,,,,,
179,16,2,丟,7A,0A 2A 3A 4A 7C 8C 1E 2E 2E 3E ,,18,,,,,,,,,,,,,
180,17,1,摸,7B,2B 2B 4B 4B 6B 5C 6C 1E 3E 3E ,2,,,,,,,,,,,,,,
181,17,1,丟,1E,2B 2B 4B 4B 6B 7B 5C 6C 3E 3E ,2,,,,,,,,,,,,,,
182,18,0,摸,2C,1A 2A 2A 3A 6A 6A 1C 1C 3C 4C 5C 7C 1E ,,,,,,,,,,,,,,,
183,18,0,丟,2A,1A 2A 3A 6A 6A 1C 1C 2C 3C 4C 5C 7C 1E ,,,,,,,,,,,,,,,
184,19,3,摸,2B,5A 6A 8A 8A 8A 5B 6B 6C 2E 2E ,,5,,,,,,,,,,,,,
185,19,3,丟,2B,5A 6A 8A 8A 8A 5B 6B 6C 2E 2E ,,5,,,,,,,,,,,,,
186,20,1,碰,2B,4B 4B 6B 7B 5C 6C 3E 3E ,2,11,,,,,,,,,,,,,
187,20,1,丟,4B,4B 6B 7B 5C 6C 3E 3E ,2,11,,,,,,,,,,,,,
