,手數,玩家,行為,進張,手牌,吃,碰,槓,talkA,talkB,talkC,talkD,messageA,messageB,messageC,messageD,promptA,promptB,promptC,promptD,Total_messageA,Total_messageB,Total_messageC,Total_messageD
163,15,2,丟,2D,6B 7B 0C 0C 1C 0D 0D ,44 48 ,,,,,,,,,,,,,,,,,,
164,16,1,摸,6B,1A 3A 3B 8B 0C 3C 5C 8C 1E 2E ,13,,,,,,,,,,,,,,,,,,
165,16,1,丟,3B,1A 3A 6B 8B 0C 3C 5C 8C 1E 2E ,13,,,,,,,,,,,,,,,,,,
166,17,0,摸,3A,5B 7B 4C 4C 6C 6C 7C 1D 3E 3E ,,0,,,,,,,,,,,,,,,,,
167,17,0,丟,3A,5B 7B 4C 4C 6C 6C 7C 1D 3E 3E ,,0,,,,,,,,,,,,,,,,,
168,18,3,摸,5C,5A 7A 6B 8B 6C 2E 3E ,,9 30 ,,,,,,,,,,,,,,,,,
169,18,3,丟,2E,5A 7A 6B 8B 5C 6C 3E ,,9 30 ,,,,,,,,,,,,,,,,,
170,19,2,摸,2B,6B 7B 0C 0C 1C 0D 0D ,44 48 ,,,,,,,,,,,,,,,,,,
171,19,2,丟,2B,6B 7B 0C 0C 1C 0D 0D ,44 48 ,,,,,,,,,,,,,,,,,,
172,20,1,摸,7C,1A 3A 6B 8B 0C 3C 5C 8C 1E 2E ,13,,,,,,,,,,,,,,,,,,
173,20,1,丟,0C,1A 3A 6B 8B 3C 5C 7C 8C 1E 2E ,13,,,,,,,,,,,,,,,,,,
174,21,2,碰,0C,6B 7B 1C 0D 0D ,44 48 ,18,,,,,,,,,,,,,,,,,
175,21,2,丟,1C,6B 7B 0D 0D ,44 48 ,18,,,,,,,,,,,,,,,,,
176,22,1,摸,6C,1A 3A 6B 8B 3C 5C 7C 8C 1E 2E ,13,,,,,,,,,,,,,,,,,,
177,22,1,丟,1E,1A 3A 6B 8B 3C 5C 6C 7C 8C 2E ,13,,,,,,,,,,,,,,,,,,
178,23,0,摸,1C,5B 7B 4C 4C 6C 6C 7C 1D 3E 3E ,,0,,,,,,,,,,,,,,,,,
179,23,0,丟,1C,5B 7B 4C 4C 6C 6C 7C 1D 3E 3E ,,0,,,,,,,,,,,,,,,,,
180,24,3,摸,1E,5A 7A 6B 8B 5C 6C 3E ,,9 30 ,,,,,,,,,,,,,,,,,
181,24,3,丟,1E,5A 7A 6B 8B 5C 6C 3E ,,9 30 ,,,,,,,,,,,,,,,,,
182,25,2,摸,5B,6B 7B 0D 0D ,44 48 ,18,,,,,,,,,,,,,,,,,
183,25,2,自摸,5B,6B 7B 0D 0D ,44 48 ,18,,,,,,,,,,,,,,,,,
184,台,6,總台,18,牌型,根 首胡 ,,,,,,,,,,,,,,,,,,
185,score,-34,34,-8,8,,,,,,,,,,,,,,,,,,,
186,score,-34,34,-8,8,,,,,,,,,,,,,,,,,,,
187,結束,,,,,,,,,,,,,,,,,,,,,,,
