,手數,玩家,行為,進張,手牌,吃,碰,槓,talkA,talkB,talkC,talkD,messageA,messageB,messageC,messageD,promptA,promptB,promptC,promptD,Total_messageA,Total_messageB,Total_messageC,Total_messageD
42,22,3,吃,7B,5A 6A 8A 8A 8A 6C 2E 2E ,37,5,,,,,,第22手:你看到玩家D吃8條,第22手:你看到玩家D吃8條,第22手:你看到玩家D吃8條,第22手:你吃8條,,,,,,,,
43,22,3,丟,6C,5A 6A 8A 8A 8A 2E 2E ,37,5,,,,,,第22手:你看到玩家D丟7筒,第22手:你看到玩家D丟7筒,第22手:你看到玩家D丟7筒,第22手:你丟7筒,,,,,,,,
44,23,2,吃,6C,0A 2A 3A 4A 1E 2E 2E 3E ,62,18,,,,,,第23手:你看到玩家C吃7筒,第23手:你看到玩家C吃7筒,第23手:你吃7筒,第23手:你看到玩家C吃7筒,,,,,,,,
45,23,2,丟,1E,0A 2A 3A 4A 2E 2E 3E ,62,18,,,,,,第23手:你看到玩家C丟南風,第23手:你看到玩家C丟南風,第23手:你丟南風,第23手:你看到玩家C丟南風,,,,,,,,
46,24,1,摸,1E,4B 6B 7B 5C 6C 3E 3E ,2,11,,,,,,第24手:你看到玩家B摸牌,第24手:你摸到一張沒用的牌。向聽數還是:5,第24手:你看到玩家B摸牌,第24手:你看到玩家B摸牌,,,,,,,,
47,24,1,丟,4B,6B 7B 5C 6C 1E 3E 3E ,2,11,,,,,,第24手:你看到玩家B丟5條,第24手:你丟5條,第24手:你看到玩家B丟5條,第24手:你看到玩家B丟5條,,,,,,,,
48,25,0,摸,1D,1A 2A 3A 6A 6A 1C 1C 2C 3C 4C 5C 7C 1E ,,,,,,,,第25手:你摸到一張沒用的牌。向聽數還是:4,第25手:你看到玩家A摸牌,第25手:你看到玩家A摸牌,第25手:你看到玩家A摸牌,,,,,,,,
49,25,0,丟,1D,1A 2A 3A 6A 6A 1C 1C 2C 3C 4C 5C 7C 1E ,,,,,,,,第25手:你丟青發,第25手:你看到玩家A丟青發,第25手:你看到玩家A丟青發,第25手:你看到玩家A丟青發,,,,,,,,
50,26,3,摸,7A,5A 6A 8A 8A 8A 2E 2E ,37,5,,,,,,第26手:你看到玩家D摸牌,第26手:你看到玩家D摸牌,第26手:你看到玩家D摸牌,第26手:你摸到一張沒用的牌。向聽數還是:8,,,,,,,,
51,26,3,自摸,7A,5A 6A 8A 8A 8A 2E 2E ,37,5,,,,,,,,,,,,,,,,,
52,台,10,總台,30,牌型,根 素胡 首胡 ,,,,,,,牌型為:根 素胡 首胡 ,牌型為:根 素胡 首胡 ,牌型為:根 素胡 首胡 ,牌型為:根 素胡 首胡 ,,,,,,,,
53,score,-28,40,-26,14,,,,,,,,,,,,,,,,,,,
54,score,-28,40,-26,14,,,,,,,,,,,,,,,,,,,
55,結束,,,,,,,,,,,,,,,,,,,,,,,
56,4,東風北,3,0,2,,,,,,,,,,,,,,,,,,,
57,,2,,,6A 0B 6B 7B 0C 0C 1C 1C 2C 2C 5C 0D 2D ,,,,,,,,,,,,,,,,,,,
58,,1,,,0A 3A 4A 5A 0B 8B 0C 3C 5C 8C 0E 1E 2E ,,,,,,,,,,,,,,,,,,,
59,,0,,,0A 0A 5A 1B 5B 7B 4C 4C 6C 6C 7C 3E 3E ,,,,,,,,,,,,,,,,,,,
60,,3,,,2A 5A 7A 0B 0B 3B 8B 3C 6C 0D 0E 2E 3E ,,,,,,,,,,,,,,,,,,,
61,4,東風北,3,0,2,,,,,,,,,,,,,,,,,,,
62,,2,,,6A 0B 6B 7B 0C 0C 1C 1C 2C 2C 5C 0D 2D ,,,,,,,,,,,,,,,,,,,
63,,1,,,0A 3A 4A 5A 0B 8B 0C 3C 5C 8C 0E 1E 2E ,,,,,,,,,,,,,,,,,,,
64,,0,,,0A 0A 5A 1B 5B 7B 4C 4C 6C 6C 7C 3E 3E ,,,,,,,,,,,,,,,,,,,
65,,3,,,2A 5A 7A 0B 0B 3B 8B 3C 6C 0D 0E 2E 3E ,,,,,,,,,,,,,,,,,,,
66,1,3,摸,0E,2A 5A 7A 0B 0B 3B 8B 3C 6C 0D 0E 2E 3E ,,,,,,,,,,,,,,,,,,,
67,1,3,丟,0D,2A 5A 7A 0B 0B 3B 8B 3C 6C 0E 0E 2E 3E ,,,,,,,,,,,,,,,,,,,
68,2,2,摸,4C,6A 0B 6B 7B 0C 0C 1C 1C 2C 2C 5C 0D 2D ,,,,,,,,,,,,,,,,,,,
69,2,2,丟,6A,0B 6B 7B 0C 0C 1C 1C 2C 2C 4C 5C 0D 2D ,,,,,,,,,,,,,,,,,,,
70,3,1,吃,6A,0A 3A 0B 8B 0C 3C 5C 8C 0E 1E 2E ,13,,,,,,,,,,,,,,,,,,
71,3,1,丟,0A,3A 0B 8B 0C 3C 5C 8C 0E 1E 2E ,13,,,,,,,,,,,,,,,,,,
72,4,0,碰,0A,5A 1B 5B 7B 4C 4C 6C 6C 7C 3E 3E ,,0,,,,,,,,,,,,,,,,,
73,4,0,丟,5A,1B 5B 7B 4C 4C 6C 6C 7C 3E 3E ,,0,,,,,,,,,,,,,,,,,
74,5,3,摸,6B,2A 5A 7A 0B 0B 3B 8B 3C 6C 0E 0E 2E 3E ,,,,,,,,,,,,,,,,,,,
75,5,3,丟,2A,5A 7A 0B 0B 3B 6B 8B 3C 6C 0E 0E 2E 3E ,,,,,,,,,,,,,,,,,,,
76,6,2,摸,3B,0B 6B 7B 0C 0C 1C 1C 2C 2C 4C 5C 0D 2D ,,,,,,,,,,,,,,,,,,,
77,6,2,丟,0B,3B 6B 7B 0C 0C 1C 1C 2C 2C 4C 5C 0D 2D ,,,,,,,,,,,,,,,,,,,
